x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y
2.71,50176,50875,50462,49938,7002.6,1288.03,19.45,18630.9,2042.8,2326.75,144915,1.7,2,581.11,2.81,6.14,1.33,48625.5
2.76,50875,50462,49938,49515,7038.65,1282.96,19.41,18734.9,2078.58,2351.6,147290,1.7,2,587.61,2.83,6.14,1.32,48424
2.6,50462,49938,49515,48706,6963.45,1270.05,19.2,18988.7,2076.2,2374.15,152015,1.7,1.6,589.36,2.85,6.14,1.3,47875
2.54,49938,49515,48706,48759,6895.45,1245.48,18.86,18795.5,2022.65,2297.55,155435,1.7,1.6,589.94,2.85,6.13,1.29,48236
2.57,49515,48706,48759,48625.5,6911.35,1226.13,18.43,17898.1,1958.15,2258.8,155450,1.7,1.6,595.3,2.86,6.14,1.29,48135
2.65,48706,48759,48625.5,48424,6766,1218.81,17.65,17100.7,1929.15,2252.85,154400,1.7,1.6,598.88,2.87,6.14,1.28,48068
2.48,48759,48625.5,48424,47875,6713.6,1208.48,17.09,16260.3,1898.25,2265.75,152170,1.7,1.6,597.74,2.89,6.14,1.26,48041
2.33,48625.5,48424,47875,48236,6725.65,1216.82,17.31,16573.9,1910.77,2312.1,149855,1.7,1.6,594.43,2.9,6.14,1.27,47788
2.21,48424,47875,48236,48135,6724.2,1237.21,17.37,15883.2,1914.45,2281.15,154620,1.7,1.6,588.07,2.9,6.12,1.28,46458
2.19,47875,48236,48135,48068,6705.35,1239.95,17.28,15139.6,1978.85,2238.7,157985,1.7,1.6,584.33,2.9,6.12,1.27,46874
2.19,48236,48135,48068,48041,6825.1,1207.36,16.8,15450,2021.9,2288.55,161700,1.7,1.6,578.56,2.91,6.11,1.26,46535
2.11,48135,48068,48041,47788,6746.25,1158.68,15.73,15393.9,2068.55,2248.2,160945,1.3,1.4,587.1,2.92,6.12,1.25,46483
2.07,48068,48041,47788,46458,6746.5,1165.61,15.78,15393.4,2047.87,2253.9,160815,1.3,1.4,592.08,2.93,6.12,1.25,46295
2.04,48041,47788,46458,46874,6750.55,1192.03,16.22,16063.6,2039.25,2253.2,160540,1.3,1.4,597.07,2.93,6.12,1.25,45679
1.99,47788,46458,46874,46535,6608.1,1190.13,16.26,16377.3,2066.55,2257.6,162685,1.3,1.4,600.36,2.91,6.14,1.25,42767
1.81,46458,46874,46535,46483,6494.6,1203.16,16.4,16565.7,1993.35,2222.05,164760,0.8,1.5,611.34,2.94,6.15,1.24,41756
1.66,46874,46535,46483,46295,6505.8,1221.93,16.9,16430.1,1936.83,2187.85,165955,0.8,1.5,614.83,2.96,6.18,1.24,40240
1.56,46535,46483,46295,45679,6418.1,1194.63,15.89,15794.2,1885.55,2139.25,170640,0.8,1.5,616.15,2.95,6.2,1.23,41199
1.53,46483,46295,45679,42767,6375.6,1179.29,15.78,15288,1839.5,2150.05,171295,0.8,1.5,608.1,2.97,6.22,1.22,41263
